"name","database_name","schema","table","type","precision","scale","ordinal","server"
"id","french","pg_catalog","regions","integer",32,0,1,"192.168.0.100"
"code","french","pg_catalog","regions","character varying",,,2,"192.168.0.100"
"capital","french","pg_catalog","regions","character varying",,,3,"192.168.0.100"
"name","french","pg_catalog","regions","text",,,4,"192.168.0.100"
"id","french","pg_catalog","departments","integer",32,0,1,"192.168.0.100"
"code","french","pg_catalog","departments","character varying",,,2,"192.168.0.100"
"capital","french","pg_catalog","departments","character varying",,,3,"192.168.0.100"
"region","french","pg_catalog","departments","character varying",,,4,"192.168.0.100"
"name","french","pg_catalog","departments","text",,,5,"192.168.0.100"
"id","french","pg_catalog","towns","integer",32,0,1,"192.168.0.100"
"code","french","pg_catalog","towns","character varying",,,2,"192.168.0.100"
"article","french","pg_catalog","towns","text",,,3,"192.168.0.100"
"name","french","pg_catalog","towns","text",,,4,"192.168.0.100"
"department","french","pg_catalog","towns","character varying",,,5,"192.168.0.100"
